side,id,golpe_real,golpe_prob,verdict,classe_binaria,tipo,urgencia,pede_pix,latency_ms,tokens_in,tokens_out,cost_usd,model,recv_s
rust,0,0,0.2,ok,TN,cobranca_legitima,0.04,0.87,567.3243,630,151,2.6460000000000004e-05,jev-1.13.0,0.575196
rust,1,0,0.06,ok,TN,pessoal,0.0,0.1,409.07759999999996,612,148,2.5704000000000003e-05,jev-1.13.0,0.969422
rust,2,0,0.08,ok,TN,pessoal,0.0,0.01,538.6863,600,148,2.5200000000000003e-05,jev-1.13.0,0.546708
rust,3,0,0.16,ok,TN,cobranca_legitima,0.0,0.01,551.6739,598,151,2.5116000000000005e-05,jev-1.13.0,0.560174
rust,4,0,0.07,ok,TN,outro,0.94,0.01,570.7213,605,147,2.5410000000000002e-05,jev-1.13.0,0.579436
rust,5,0,0.18,ok,TN,cobranca_legitima,0.05,0.9,559.5178,628,151,2.6376000000000003e-05,jev-1.13.0,0.567912
rust,6,0,0.02,ok,TN,pessoal,0.27,0.03,536.3584,613,148,2.5746000000000004e-05,jev-1.13.0,1.035796
rust,7,0,0.08,ok,TN,outro,0.14,0.01,410.7597,610,147,2.5620000000000002e-05,jev-1.13.0,0.978799
rust,8,0,0.24,ok,TN,cobranca_legitima,0.71,0.04,486.63820000000004,605,151,2.5410000000000002e-05,jev-1.13.0,0.495877
rust,9,0,0.19,ok,TN,cobranca_legitima,0.05,0.91,430.3997,628,151,2.6376000000000003e-05,jev-1.13.0,0.926833
rust,10,0,0.24,ok,TN,cobranca_legitima,0.01,0.02,490.4366,601,151,2.5242000000000003e-05,jev-1.13.0,0.499391
rust,11,0,0.02,ok,TN,pessoal,0.27,0.03,369.5002,614,148,2.5788000000000004e-05,jev-1.13.0,0.940277
rust,12,1,0.95,golpe,TP,boleto_falso,2.0,0.99,352.7992,631,149,2.6502000000000005e-05,jev-1.13.0,0.927813
rust,13,0,0.15,ok,TN,cobranca_legitima,0.08,0.01,562.5704000000001,608,151,2.5536000000000004e-05,jev-1.13.0,0.570587
rust,14,0,0.2,ok,TN,cobranca_legitima,0.06,0.9,434.4223,632,151,2.6544000000000002e-05,jev-1.13.0,2.537116
rust,15,0,0.31,ok,TN,pessoal,0.27,0.95,441.6769,628,148,2.6376000000000003e-05,jev-1.13.0,2.56367
rust,16,0,0.21,ok,TN,cobranca_legitima,0.05,0.92,417.3092,628,151,2.6376000000000003e-05,jev-1.13.0,2.621412
rust,17,0,0.08,ok,TN,outro,0.94,0.01,431.4544,604,147,2.5368000000000002e-05,jev-1.13.0,2.843884
rust,18,0,0.2,ok,TN,cobranca_legitima,0.05,0.94,409.7202,628,151,2.6376000000000003e-05,jev-1.13.0,2.946441
rust,19,0,0.03,ok,TN,pessoal,0.27,0.03,331.02680000000004,614,148,2.5788000000000004e-05,jev-1.13.0,2.946393
rust,20,0,0.34,ok,TN,pessoal,0.43,0.95,350.05649999999997,624,148,2.6208000000000004e-05,jev-1.13.0,2.971565
rust,21,0,0.07,ok,TN,outro,0.9,0.01,351.9832,604,147,2.5368000000000002e-05,jev-1.13.0,1.276554
rust,22,0,0.13,ok,TN,outro,0.67,0.01,379.364,610,147,2.5620000000000002e-05,jev-1.13.0,10.903181
rust,23,0,0.1,ok,TN,cobranca_legitima,0.02,0.01,323.312,613,151,2.5746000000000004e-05,jev-1.13.0,10.437953
rust,24,0,0.16,ok,TN,cobranca_legitima,0.09,0.01,328.27410000000003,606,151,2.5452000000000003e-05,jev-1.13.0,10.52387
rust,25,0,0.01,ok,TN,pessoal,0.14,0.01,337.78049999999996,609,148,2.5578000000000005e-05,jev-1.13.0,10.523682
rust,26,1,0.98,golpe,TP,falsa_central,0.89,0.99,289.0023,663,150,2.7846000000000004e-05,jev-1.13.0,10.185599
rust,27,0,0.01,ok,TN,pessoal,0.21,0.01,366.1309,610,148,2.5620000000000002e-05,jev-1.13.0,10.674462
rust,28,0,0.02,ok,TN,pessoal,0.21,0.03,465.37620000000004,614,148,2.5788000000000004e-05,jev-1.13.0,10.874726
rust,29,0,0.18,ok,TN,cobranca_legitima,0.04,0.88,331.74969999999996,631,151,2.6502000000000005e-05,jev-1.13.0,10.338754
rust,30,0,0.26,ok,TN,cobranca_legitima,0.71,0.04,370.2199,605,151,2.5410000000000002e-05,jev-1.13.0,0.949824
rust,31,0,0.1,ok,TN,cobranca_legitima,0.03,0.01,441.1732,613,151,2.5746000000000004e-05,jev-1.13.0,2.203956
rust,32,0,0.02,ok,TN,pessoal,0.0,0.0,410.4066,600,148,2.5200000000000003e-05,jev-1.13.0,1.379872
rust,33,0,0.18,ok,TN,cobranca_legitima,0.11,0.01,473.3353,602,151,2.5284000000000004e-05,jev-1.13.0,2.649594
rust,34,1,0.98,golpe,TP,falsa_central,2.0,0.99,327.1576,637,150,2.6754000000000005e-05,jev-1.13.0,1.276718
rust,35,0,0.22,ok,TN,cobranca_legitima,0.74,0.04,418.4087,607,151,2.5494000000000004e-05,jev-1.13.0,1.840341
